id,lat,lon,data_hora_gmt,satelite,municipio,estado,pais,municipio_id,estado_id,pais_id,numero_dias_sem_chuva,precipitacao,risco_fogo,bioma,frp
3ecf965c-7686-3031-8e5e-bc594cd3eaae,   1.080270, -60.741470,2024-02-23 17:11:00,NPP-375,CARACARAÍ,RORAIMA,Brasil,1400209,14,33,17,0.0,1.0,Amazônia,16.8
772dc239-2d32-37c2-8765-590c9641d37e,   1.077910, -60.731960,2024-02-23 17:11:00,NPP-375,CARACARAÍ,RORAIMA,Brasil,1400209,14,33,17,0.0,0.96,Amazônia,8.4
b2ae7aee-c949-33b5-b528-30cd7f02f9e7,   1.077770, -60.659100,2024-02-23 17:11:00,NPP-375,CARACARAÍ,RORAIMA,Brasil,1400209,14,33,17,0.0,0.84,Amazônia,3.6
4bfef025-5a81-38c2-ba00-d0fe8c4bae9c,   1.076390, -60.667960,2024-02-23 17:11:00,NPP-375,CARACARAÍ,RORAIMA,Brasil,1400209,14,33,17,0.0,0.84,Amazônia,4.8
94e6a6fc-c791-3188-a004-ca21b1a38da6,   1.072770, -60.740370,2024-02-23 17:11:00,NPP-375,CARACARAÍ,RORAIMA,Brasil,1400209,14,33,17,0.0,1.0,Amazônia,9.0
73766cc6-c4b7-3aa3-9196-5d84770e038e,   1.072080, -60.744840,2024-02-23 17:11:00,NPP-375,CARACARAÍ,RORAIMA,Brasil,1400209,14,33,17,0.0,1.0,Amazônia,37.4
a3c280a5-8cbd-334e-b86d-f83ca3320518,   1.069880, -60.685190,2024-02-23 17:11:00,NPP-375,CARACARAÍ,RORAIMA,Brasil,1400209,14,33,17,0.0,0.96,Amazônia,43.2
2072b25a-112f-3a04-bd3b-aee70a5c9465,   1.053220, -59.400780,2024-02-23 17:11:00,NPP-375,CAROEBE,RORAIMA,Brasil,1400233,14,33,17,0.0,0.8,Amazônia,11.8
bfb01d26-5ff1-3f65-9807-671f907214ee,   1.031310, -59.472800,2024-02-23 17:11:00,NPP-375,CAROEBE,RORAIMA,Brasil,1400233,14,33,17,0.0,0.78,Amazônia,80.9
e2d5cd16-cf47-3582-aee3-c44375c2773c,   1.551350, -60.346610,2024-02-23 17:11:00,NPP-375,CARACARAÍ,RORAIMA,Brasil,1400209,14,33,9,0.0,1.0,Amazônia,17.1
9ac6b44f-ad5d-3e94-894f-401ec34325fe,   1.540010, -60.272570,2024-02-23 17:11:00,NPP-375,CARACARAÍ,RORAIMA,Brasil,1400209,14,33,9,0.0,1.0,Amazônia,8.3
ff037700-157e-354d-8dd6-c4413d815569,   1.533820, -60.118760,2024-02-23 17:11:00,NPP-375,CARACARAÍ,RORAIMA,Brasil,1400209,14,33,14,0.0,1.0,Amazônia,9.6
0aa86f01-ceb8-3b05-9108-ffe89d5a3895,   1.528970, -60.126360,2024-02-23 17:11:00,NPP-375,CARACARAÍ,RORAIMA,Brasil,1400209,14,33,15,0.0,1.0,Amazônia,2.8
45fd94c1-16f2-39e2-8cf4-cae2a82a193c,   1.515480, -60.311570,2024-02-23 17:11:00,NPP-375,CARACARAÍ,RORAIMA,Brasil,1400209,14,33,9,0.0,0.99,Amazônia,4.3
c6b3c0d5-a0ae-30d2-8f56-0f5f2c29913d,   1.165360, -60.361550,2024-02-23 17:11:00,NPP-375,CARACARAÍ,RORAIMA,Brasil,1400209,14,33,17,0.0,0.87,Amazônia,18.6
1a6a7648-f0d9-3574-8ef7-6d4296ec606a,   1.055390, -59.620880,2024-02-23 17:11:00,NPP-375,CAROEBE,RORAIMA,Brasil,1400233,14,33,17,0.0,0.83,Amazônia,16.5
5fabd17f-48e2-3f53-82f1-6f1fc12017b0,   1.033310, -60.030190,2024-02-23 17:11:00,NPP-375,SÃO LUIZ,RORAIMA,Brasil,1400605,14,33,17,0.0,0.99,Amazônia,20.2
f67b735a-518c-32b0-ac3f-dbde1f75ef6b,   1.032690, -60.034310,2024-02-23 17:11:00,NPP-375,SÃO LUIZ,RORAIMA,Brasil,1400605,14,33,17,0.0,0.94,Amazônia,20.2
